2020/9/1 星期二 8:48:56	正在初始化...已完成
2020/9/1 星期二 9:00:41	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:42	开始预订G74车次的车票...

2020/9/1 星期二 9:00:42	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:42	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:42	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:42	开始预订G74车次的车票...

2020/9/1 星期二 9:00:42	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:42	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:43	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:43	开始预订G74车次的车票...

2020/9/1 星期二 9:00:43	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:43	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:43	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:43	开始预订G74车次的车票...

2020/9/1 星期二 9:00:43	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:43	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:43	[任务2]12306系统忙,自动重试

2020/9/1 星期二 9:00:45	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:46	开始预订G74车次的车票...

2020/9/1 星期二 9:00:46	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:46	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:46	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:46	开始预订G74车次的车票...

2020/9/1 星期二 9:00:46	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:46	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:47	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:47	开始预订G74车次的车票...

2020/9/1 星期二 9:00:47	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:47	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:47	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:48	开始预订G74车次的车票...

2020/9/1 星期二 9:00:48	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:48	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:48	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:48	开始预订G74车次的车票...

2020/9/1 星期二 9:00:48	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:48	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:48	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:48	开始预订G74车次的车票...

2020/9/1 星期二 9:00:48	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:48	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:48	[任务2]12306系统忙,自动重试

2020/9/1 星期二 9:00:50	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:51	开始预订G74车次的车票...

2020/9/1 星期二 9:00:51	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:51	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:51	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:51	开始预订G74车次的车票...

2020/9/1 星期二 9:00:51	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:51	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:52	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:52	开始预订G74车次的车票...

2020/9/1 星期二 9:00:52	[普通]线程启动完成,开始解析算法...

