2017/9/14 16:40:39	正在初始化...已完成

2017/9/14 16:40:41	链接12306服务器速度:264毫秒[优]

2017/9/14 16:40:42	获取到:1198个CDN,开始智能测速中...

2017/9/14 16:40:47	查询完毕,本次查询共用时:337毫秒

2017/9/14 16:42:04	查询完毕,本次查询共用时:153毫秒

2017/9/14 16:42:43	[查询失败]当前未查到列车，请稍后再试

2017/9/14 16:42:43	查询完毕,本次查询共用时:10030毫秒

2017/9/14 16:42:47	查询完毕,本次查询共用时:452毫秒

2017/9/14 16:43:14	[查询失败]当前未查到列车，请稍后再试

2017/9/14 16:43:14	查询完毕,本次查询共用时:10026毫秒

2017/9/14 16:43:18	查询完毕,本次查询共用时:730毫秒

2017/9/14 16:43:42	链接12306服务器速度:138毫秒[优]

2017/9/14 16:44:06	查询完毕,本次查询共用时:207毫秒

2017/9/14 16:44:42	链接12306服务器速度:122毫秒[优]

2017/9/14 16:44:59	查询完毕,本次查询共用时:167毫秒

2017/9/14 16:45:19	查询完毕,本次查询共用时:245毫秒

2017/9/14 16:45:43	查询完毕,本次查询共用时:283毫秒

2017/9/14 18:10:00	查询完毕,本次查询共用时:2061毫秒

2017/9/14 19:26:14	查询完毕,本次查询共用时:438毫秒

2017/9/14 19:26:52	查询完毕,本次查询共用时:320毫秒

2017/9/14 19:27:26	查询完毕,本次查询共用时:247毫秒

